Country;Sex;Age;Year;Population
Austria;W;0 to 4;2010;191559
Austria;W;0 to 4;2011;191682
Austria;W;0 to 4;2012;191948
Austria;W;0 to 4;2013;192897
Austria;W;0 to 4;2014;195255
Austria;W;0 to 4;2015;198645
Austria;W;0 to 4;2016;203586
Austria;W;0 to 4;2017;207589
Austria;W;0 to 4;2018;210399
Austria;W;0 to 4;2019;211489
Austria;W;0 to 4;2020;211358
Austria;M;0 to 4;2010;201089
Austria;M;0 to 4;2011;201706
Austria;M;0 to 4;2012;203087
Austria;M;0 to 4;2013;204718
Austria;M;0 to 4;2014;207512
Austria;M;0 to 4;2015;211488
Austria;M;0 to 4;2016;217009
Austria;M;0 to 4;2017;221237
Austria;M;0 to 4;2018;223630
Austria;M;0 to 4;2019;224141
Austria;M;0 to 4;2020;223399
Belgium;W;0 to 4;2010;310119
Belgium;W;0 to 4;2011;314576
Belgium;W;0 to 4;2012;316552
Belgium;W;0 to 4;2013;316403
Belgium;W;0 to 4;2014;314526
Belgium;W;0 to 4;2015;311761
Belgium;W;0 to 4;2016;308478
Belgium;W;0 to 4;2017;304930
Belgium;W;0 to 4;2018;301462
Belgium;W;0 to 4;2019;298486
Belgium;W;0 to 4;2020;294784
Belgium;M;0 to 4;2010;324882
Belgium;M;0 to 4;2011;329643
Belgium;M;0 to 4;2012;331729
Belgium;M;0 to 4;2013;331216
Belgium;M;0 to 4;2014;329354
Belgium;M;0 to 4;2015;326628
Belgium;M;0 to 4;2016;323247
Belgium;M;0 to 4;2017;319818
Belgium;M;0 to 4;2018;316032
Belgium;M;0 to 4;2019;312020
Belgium;M;0 to 4;2020;307593
Denmark;W;0 to 4;2010;158711
Denmark;W;0 to 4;2011;157146
Denmark;W;0 to 4;2012;154205
Denmark;W;0 to 4;2013;150431
Denmark;W;0 to 4;2014;146456
Denmark;W;0 to 4;2015;143911
Denmark;W;0 to 4;2016;143798
Denmark;W;0 to 4;2017;145421
Denmark;W;0 to 4;2018;147296
Denmark;W;0 to 4;2019;148737
Denmark;W;0 to 4;2020;150486
Denmark;M;0 to 4;2010;167323
Denmark;M;0 to 4;2011;165560
Denmark;M;0 to 4;2012;162341
Denmark;M;0 to 4;2013;158655
Denmark;M;0 to 4;2014;154097
Denmark;M;0 to 4;2015;151377
Denmark;M;0 to 4;2016;151678
Denmark;M;0 to 4;2017;153665
Denmark;M;0 to 4;2018;155367
Denmark;M;0 to 4;2019;157512
Denmark;M;0 to 4;2020;159041
France;W;0 to 4;2010;1962205
France;W;0 to 4;2011;1966143
France;W;0 to 4;2012;1963617
France;W;0 to 4;2013;1955132
France;W;0 to 4;2014;1960390
France;W;0 to 4;2015;1938831
France;W;0 to 4;2016;1910359
France;W;0 to 4;2017;1883899
France;W;0 to 4;2018;1855361
France;W;0 to 4;2019;1824236
France;W;0 to 4;2020;1794337
France;M;0 to 4;2010;2052397
France;M;0 to 4;2011;2055710
France;M;0 to 4;2012;2053208
France;M;0 to 4;2013;2046861
France;M;0 to 4;2014;2047757
France;M;0 to 4;2015;2021794
France;M;0 to 4;2016;1992833
France;M;0 to 4;2017;1963180
France;M;0 to 4;2018;1930708
France;M;0 to 4;2019;1898959
France;M;0 to 4;2020;1867594
Germany;W;0 to 4;2010;1660387
Germany;W;0 to 4;2011;1650726
Germany;W;0 to 4;2012;1651521
Germany;W;0 to 4;2013;1657061
Germany;W;0 to 4;2014;1679831
Germany;W;0 to 4;2015;1727862
Germany;W;0 to 4;2016;1792556
Germany;W;0 to 4;2017;1850209
Germany;W;0 to 4;2018;1892430
Germany;W;0 to 4;2019;1920984
Germany;W;0 to 4;2020;1931360
Germany;M;0 to 4;2010;1748978
Germany;M;0 to 4;2011;1737932
Germany;M;0 to 4;2012;1737893
Germany;M;0 to 4;2013;1743806
Germany;M;0 to 4;2014;1768121
Germany;M;0 to 4;2015;1822117
Germany;M;0 to 4;2016;1892441
Germany;M;0 to 4;2017;1951404
Germany;M;0 to 4;2018;1994158
Germany;M;0 to 4;2019;2022903
Germany;M;0 to 4;2020;2033897
Italy;W;0 to 4;2010;1367363
Italy;W;0 to 4;2011;1358540
Italy;W;0 to 4;2012;1346286
Italy;W;0 to 4;2013;1328234
Italy;W;0 to 4;2014;1298743
Italy;W;0 to 4;2015;1263998
Italy;W;0 to 4;2016;1228403
Italy;W;0 to 4;2017;1192369
Italy;W;0 to 4;2018;1155084
Italy;W;0 to 4;2019;1118970
Italy;W;0 to 4;2020;1081740
Italy;M;0 to 4;2010;1451035
Italy;M;0 to 4;2011;1440723
Italy;M;0 to 4;2012;1426468
Italy;M;0 to 4;2013;1406438
Italy;M;0 to 4;2014;1374976
Italy;M;0 to 4;2015;1337806
Italy;M;0 to 4;2016;1299129
Italy;M;0 to 4;2017;1260415
Italy;M;0 to 4;2018;1221435
Italy;M;0 to 4;2019;1182676
Italy;M;0 to 4;2020;1143443
Netherlands;W;0 to 4;2010;451153
Netherlands;W;0 to 4;2011;449684
Netherlands;W;0 to 4;2012;446770
Netherlands;W;0 to 4;2013;441422
Netherlands;W;0 to 4;2014;435735
Netherlands;W;0 to 4;2015;430568
Netherlands;W;0 to 4;2016;426339
Netherlands;W;0 to 4;2017;424107
Netherlands;W;0 to 4;2018;422742
Netherlands;W;0 to 4;2019;421191
Netherlands;W;0 to 4;2020;419043
Netherlands;M;0 to 4;2010;472841
Netherlands;M;0 to 4;2011;471238
Netherlands;M;0 to 4;2012;468699
Netherlands;M;0 to 4;2013;463514
Netherlands;M;0 to 4;2014;457262
Netherlands;M;0 to 4;2015;452021
Netherlands;M;0 to 4;2016;448232
Netherlands;M;0 to 4;2017;446087
Netherlands;M;0 to 4;2018;444339
Netherlands;M;0 to 4;2019;442577
Netherlands;M;0 to 4;2020;440506
Switzerland;W;0 to 4;2010;187202
Switzerland;W;0 to 4;2011;191704
Switzerland;W;0 to 4;2012;194939
Switzerland;W;0 to 4;2013;198154
Switzerland;W;0 to 4;2014;201660
Switzerland;W;0 to 4;2015;204366
Switzerland;W;0 to 4;2016;207092
Switzerland;W;0 to 4;2017;209831
Switzerland;W;0 to 4;2018;211989
Switzerland;W;0 to 4;2019;213141
Switzerland;W;0 to 4;2020;212375
Switzerland;M;0 to 4;2010;198561
Switzerland;M;0 to 4;2011;202659
Switzerland;M;0 to 4;2012;206333
Switzerland;M;0 to 4;2013;209876
Switzerland;M;0 to 4;2014;213293
Switzerland;M;0 to 4;2015;216298
Switzerland;M;0 to 4;2016;219480
Switzerland;M;0 to 4;2017;222099
Switzerland;M;0 to 4;2018;223823
Switzerland;M;0 to 4;2019;224647
Switzerland;M;0 to 4;2020;223724
Austria;W;5 to 9;2010;197583
Austria;W;5 to 9;2011;197690
Austria;W;5 to 9;2012;197674
Austria;W;5 to 9;2013;197205
Austria;W;5 to 9;2014;197226
Austria;W;5 to 9;2015;198119
Austria;W;5 to 9;2016;201195
Austria;W;5 to 9;2017;202305
Austria;W;5 to 9;2018;203191
Austria;W;5 to 9;2019;204680
Austria;W;5 to 9;2020;206650
Austria;M;5 to 9;2010;208146
Austria;M;5 to 9;2011;207575
Austria;M;5 to 9;2012;207118
Austria;M;5 to 9;2013;206668
Austria;M;5 to 9;2014;206739
Austria;M;5 to 9;2015;207827
Austria;M;5 to 9;2016;211949
Austria;M;5 to 9;2017;214276
Austria;M;5 to 9;2018;215668
Austria;M;5 to 9;2019;217570
Austria;M;5 to 9;2020;219940
Belgium;W;5 to 9;2010;293346
Belgium;W;5 to 9;2011;297513
Belgium;W;5 to 9;2012;302880
Belgium;W;5 to 9;2013;308888
Belgium;W;5 to 9;2014;314484
